"id_no","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code"
2582,"Aphyosemion raddai",28767.018192349,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2583,"Chrysichthys okae",166144.400322635,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2585,"Pelmatochromis ocellifer",139413.448604285,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2586,"Maylandia phaeos",252.840895309254,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2591,"Lates microlepis",33012.5919769452,0,1,1,93,"commercial",0,4.35,"Carni.",1,"EN"
2593,"Placidochromis rotundifrons",83.4835759602318,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2595,"Enteromius dorsolineatus",48586.9739676583,1,1,0,NA,NA,NA,NA,NA,2,"LC"
2597,"Micropterus punctulatus",387.865927449787,1,0,0,63.5,NA,0,3.56,"Carni.",3,"LC"
2598,"Aphyosemion amoenum",13648.1027397759,1,0,0,NA,NA,NA,NA,NA,1,"EN"
2599,"Trematocara caparti",33012.5919769452,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2603,"Synodontis violaceus",342953.942426739,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2605,"Enteromius neumayeri",529873.931768482,1,1,0,11.8000001907349,NA,0,3.04,"Carni.",1,"LC"
2606,"Aphyosemion schluppi",30497.8053900913,1,0,0,NA,NA,NA,NA,NA,1,"VU"
2607,"Labeobarbus beso",31545.1145463886,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2609,"Opsaridium splendens",11246.7932777203,1,0,0,NA,NA,NA,NA,NA,1,"DD"
2611,"Alticorpus geoffreyi",7128.85034957208,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2612,"Haplochromis taurinus",16177.5782462457,1,1,0,14,NA,0,NA,NA,1,"LC"
2614,"Microsynodontis polli",57519.0045475174,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2615,"Haplochromis maxillaris",74503.6580156115,0,1,1,16,NA,0,4,"Carni.",1,"VU"
2616,"Enteromius janssensi",78413.5999214711,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2618,"Marcusenius krameri",1657.20857980551,1,0,0,19.7000007629395,NA,0,NA,NA,2,"LC"
2620,"Platyallabes tihoni",38245.0644525414,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2622,"Oreochromis angolensis",19968.574274147,1,1,0,NA,NA,NA,NA,NA,2,"LC"
2627,"Labeobarbus jaegeri",6247.89632192623,NA,NA,0,NA,NA,NA,NA,NA,1,"DD"
2628,"Alestopetersius nigropterus",29074.3660478933,0,1,1,NA,NA,NA,NA,NA,1,"EN"
2629,"Nothobranchius kafuensis",14338.773339669,1,1,0,NA,NA,NA,NA,NA,3,"LC"
2630,"Aulonocara brevinidus",26520.5883195937,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2632,"Enteromius nigroluteus",58057.6711870975,NA,NA,0,NA,NA,NA,NA,NA,1,"EN"
2633,"Brycinus poptae",366858.405613138,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2634,"Raiamas buchholzi",751090.62157774,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2635,"Luciobarbus pallaryi",347201.56204174,1,0,0,NA,NA,NA,NA,NA,2,"LC"
2643,"Boulengerochromis microlepis",33354.7184506497,0,1,1,80,"commercial",0,4.5,"Carni.",1,"LC"
2648,"Chrysichthys longibarbis",367849.792312108,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2651,"Alestes dentex",3734225.5244276,1,1,0,55,"commercial",0,2.93,"Carni.",1,"LC"
2656,"Enteromius marmoratus",115131.696718943,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2657,"Schilbe djeremi",133242.977226339,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2660,"Clarotes laticeps",1703042.4277278,1,1,0,80,"commercial",0,3.14,"Carni.",1,"LC"
2663,"Micropanchax johnstoni",901245.857485894,1,1,0,8.5,"minor commercial",0,3.2,"Carni.",2,"LC"
2666,"Astatoreochromis straeleni",15721.8422297731,1,0,0,13,"of no interest",0,NA,NA,1,"LC"
2669,"Xenocharax crassus",178575.561558675,1,1,0,18.6000003814697,NA,0,NA,NA,1,"LC"
2678,"Enteromius aboinensis",41625.3422292593,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2679,"Sierrathrissa leonensis",228057.541342272,1,1,0,3.51999998092651,"commercial",0,3.1,"Carni.",1,"LC"
2680,"Synodontis macrostoma",64621.6237089556,1,0,0,9.19999980926514,NA,0,NA,NA,2,"LC"
2681,"Enteromius bifrenatus",1417718.06657192,1,0,0,7,"commercial",0,2.61,"Omni.",2,"LC"
2685,"Ichthyborus monodi",121934.094413816,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2688,"Serranochromis altus",196865.078827447,1,0,0,56,NA,0,4.21,"Carni.",2,"LC"
2690,"Maylandia aurora",335.813020952305,0,1,1,8.69999980926514,"commercial",0,2.5,"Omni.",1,NA
2692,"Clarias alluaudi",197919.633339019,1,1,0,23,NA,0,3.2,"Carni.",1,"LC"
2695,"Chiloglanis reticulatus",8319.26019070995,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2697,"Rhamphochromis woodi",25431.1252954917,0,1,1,42,"commercial",0,3.85,"Carni.",1,"LC"
2698,"Trematocara stigmaticum",33012.5919769452,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2701,"Callochromis melanostigma",33354.7184506497,0,1,1,15,"commercial",0,3.5,"Carni.",1,"LC"
2702,"Euchilichthys royauxi",699005.020527562,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2705,"Aphyosemion ahli",71276.5095697356,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2708,"Melanochromis baliodigma",252.0845748694,0,1,1,8.55000019073486,NA,0,4.26,"Carni.",1,"LC"
2710,"Citharinus macrolepis",355750.541820452,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2715,"Synodontis ornatipinnis",211052.205399624,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2716,"Neolamprologus leleupi",34890.675799273,0,1,1,10,"commercial",0,NA,NA,1,"LC"
2719,"Nothobranchius ugandensis",31648.8694688996,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2721,"Coptodon dageti",250747.545915562,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2722,"Epiplatys njalaensis",9386.24327020999,1,0,0,NA,NA,NA,NA,NA,1,"NT"
2724,"Epiplatys lamottei",63561.5532711305,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2727,"Sargochromis mellandi",332858.038982027,1,1,0,NA,NA,NA,NA,NA,3,"LC"
2731,"Clypeobarbus pleuropholis",921700.942464618,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2735,"Chrysichthys punctatus",399745.016155049,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2740,"Distichodus petersii",54198.8105226828,1,0,0,NA,NA,NA,NA,NA,1,"VU"
2741,"Chrysichthys nigrodigitatus",1662791.63230213,1,1,0,65,"minor commercial",0,3.17,"Carni.",1,"LC"
2751,"Campylomormyrus cassaicus",76882.6931748605,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2752,"Luciobarbus magniatlantis",194818.802569559,1,0,0,13,NA,0,NA,NA,3,"EN"
2754,"Alestopetersius brichardi",150756.73899325,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2758,"Kneria stappersii",133787.411574315,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2759,"Lacustricola kongoranensis",193239.161689221,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2764,"Synodontis manni",48419.7430537204,1,0,0,21.6000003814697,NA,0,NA,NA,1,"VU"
2765,"Sciaenochromis ahli",336.592471683571,0,1,1,20,"commercial",0,4.2,"Carni.",1,"LC"
2771,"Gobius paganellus",4473.83721609087,0,1,1,13,"minor commercial",1,3.29999995231628,"Carni.",2,"LC"
2773,"Haplochromis rufus",70029.8147067808,0,1,1,8.55000019073486,NA,0,3.29,"Carni.",1,"LC"
2774,"Enteromius macrotaenia",265332.488970642,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2778,"Haplochromis thereuterion",70029.8147067808,0,1,1,8.19999980926514,NA,0,NA,NA,1,"VU"
2779,"Phago boulengeri",756015.752439744,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2783,"Lamprologus symoensi",21933.9154094822,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2785,"Scriptaphyosemion schmitti",25102.6464791029,1,0,0,NA,NA,NA,NA,NA,1,"CR"
2787,"Hylopanchax stictopleuron",605688.080744481,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2796,"Petrocephalus sullivani",170748.066409436,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2797,"Rhexipanchax nimbaensis",26461.1212458289,1,1,0,4.5," ",0,NA,NA,1,"VU"
2801,"Nannocharax gracilis",180377.557629281,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2803,"Lophiobagrus cyclurus",33012.5919769452,0,1,1,8,"of potential interest",0,3.3,"Carni.",1,"LC"
